100 100000 0.95 gpomdp bernstein 30000000
338 4025 -0.0765088404147 2.62049524381e-05 -27.3573343307 -11.4781031541
339 4040 -0.0767111104132 2.6197949968e-05 -27.3257330704 -11.4573492504
340 4042 -0.0769142211492 2.68528711921e-05 -27.2941010866 -11.4350650024
341 3894 -0.0771298080088 2.55332991182e-05 -27.2606358969 -11.5424271605
342 4059 -0.0773266145401 2.63442558979e-05 -27.2301842069 -11.3997592257
343 4037 -0.0775302884751 2.60686373993e-05 -27.1987682202 -11.4783980964
344 4080 -0.0777298416482 2.69327844271e-05 -27.1680843681 -11.4317681155
345 3912 -0.0779449777228 2.57397769714e-05 -27.135110962 -11.4427556852
346 4028 -0.0781448510761 2.66026057369e-05 -27.1045754143 -11.484486247
347 3933 -0.078356731126 2.58698709131e-05 -27.0723087381 -11.4628122736
348 4022 -0.0785577155582 2.61124311846e-05 -27.0417990216 -11.4076103354
349 4048 -0.0787596656912 2.62599131299e-05 -27.0112380699 -11.3884182144
350 4051 -0.0789616937452 2.60815790871e-05 -26.9807605357 -11.4853110639
