100 100000 0.95 reinforce cheb_reinforce 30000000
259 16502 -0.0379983274664 1.55760150026e-05 -35.9647155568 -11.7725916545
260 17522 -0.0381334609806 1.63939340232e-05 -35.9217349678 -11.8036469587
261 17122 -0.0382773404204 1.60061163119e-05 -35.8761124674 -11.790517024
262 17403 -0.0384166790046 1.5764972044e-05 -35.8320666458 -11.7788118306
263 18127 -0.038551149232 1.64076900464e-05 -35.7896868263 -11.7750837985
264 17688 -0.0386928247542 1.58527314361e-05 -35.7451706076 -11.7392368687
265 18260 -0.0388275489096 1.60818908981e-05 -35.7029659825 -11.7335521173
266 18417 -0.0389636368257 1.63392301751e-05 -35.6604596533 -11.7793355013
267 18097 -0.0391031209259 1.69490906399e-05 -35.6170228789 -11.750045192
268 16716 -0.0392536680668 1.52937983949e-05 -35.570288338 -11.8191220797
269 18266 -0.0393836221651 1.62663645798e-05 -35.5300690069 -11.8311269137
270 18081 -0.0395225426495 1.62669054002e-05 -35.4871996274 -11.7946933182
271 17897 -0.0396621804969 1.61140186435e-05 -35.4442384263 -11.8193731468
272 17992 -0.0398001409508 1.70487814427e-05 -35.4019202808 -11.7891622314
273 16452 -0.0399527840649 1.49890505016e-05 -35.3552447703 -11.7651090019
274 18544 -0.0400791889702 1.65867416058e-05 -35.3167083381 -11.7926212556
275 17770 -0.0402220824446 1.66619145069e-05 -35.2732710016 -11.8082902909
276 16899 -0.0403692761413 1.58098443971e-05 -35.2286655324 -11.7904163898
277 17522 -0.0405064375459 1.6186629986e-05 -35.1872266955 -11.7519918382
278 17486 -0.0406470116977 1.60930955398e-05 -35.1448828243 -11.7757115127
279 17616 -0.0407862549399 1.5553985275e-05 -35.1030650569 -11.7676924103
280 18746 -0.0409167147299 1.62673963293e-05 -35.0639977307 -11.8136526057
281 18555 -0.0410538609945 1.63001589945e-05 -35.0230450089 -11.79834664
282 18305 -0.041192218687 1.62764224582e-05 -34.9818514722 -11.746172196
