100 100000 0.95 reinforce iter_bernstein 20000000
313 709 -0.00309433541902 1.03854537369e-06 -53.9452261432 -12.266747126
314 766 -0.0031038949543 8.87329021834e-07 -53.9372766691 -12.288214523
315 866 -0.00311089041282 1.1050887675e-06 -53.9314611088 -12.3032734985
316 814 -0.00312040796417 1.14849522015e-06 -53.9235511408 -12.2512635386
317 743 -0.0031313388124 1.10140799526e-06 -53.914469852 -12.0938141127
318 698 -0.00314242337864 1.01155387472e-06 -53.9052644121 -12.3648647703
319 783 -0.00315150956778 1.07902703676e-06 -53.8977212416 -11.7853786063
320 847 -0.0031605586503 1.24855293828e-06 -53.8902112659 -12.0275126049
321 763 -0.00317237897078 1.11955966435e-06 -53.8804049863 -12.1939263525
322 757 -0.00318288384669 1.14811347091e-06 -53.8716934265 -12.0199257342
323 807 -0.00319315967053 1.05992351632e-06 -53.8631749209 -11.9688922378
324 828 -0.00320216543577 1.18173581257e-06 -53.8557117979 -12.1126592776
325 729 -0.0032136283706 9.72930358859e-07 -53.8462158135 -12.0908061814
326 885 -0.00322139279838 1.0866707965e-06 -53.8397858679 -12.2956225871
327 791 -0.00323092410986 1.02987568932e-06 -53.8318951067 -12.1604601691
328 699 -0.00324104537329 8.57773527556e-07 -53.8235188216 -12.1196210948
329 796 -0.00324837188592 1.12137702093e-06 -53.817457305 -12.1268497325
330 763 -0.00325876585108 1.06110443705e-06 -53.8088606305 -12.1094094724
331 732 -0.00326885213096 1.05490758353e-06 -53.8005214283 -12.1000272077
332 686 -0.00327952046547 1.07028609819e-06 -53.7917041954 -12.3643709341
333 639 -0.00329119250927 9.57801942894e-07 -53.7820611819 -12.2351575265
334 615 -0.0033017893544 9.97493362478e-07 -53.773309869 -12.1925151133
335 920 -0.00330977913542 1.3028256401e-06 -53.766713723 -12.1976849515
336 757 -0.00332215735176 1.07142342323e-06 -53.7564982446 -11.9954566239
337 689 -0.00333298054276 1.06963809229e-06 -53.7475697195 -12.0923173495
338 769 -0.00334289714222 1.0447456145e-06 -53.739392048 -12.2189036591
339 820 -0.00335188747844 1.11375274501e-06 -53.731980665 -12.0495069156
340 817 -0.00336156115325 1.22831578958e-06 -53.7240085582 -12.3508113016
341 796 -0.00337273426452 9.93755180348e-07 -53.7148041154 -12.1442162717
342 786 -0.00338144704948 1.13103034664e-06 -53.7076289908 -12.1696106389
343 731 -0.00339237230351 1.07667756507e-06 -53.6986349473 -12.0651113217
344 754 -0.00340245518401 1.01590707955e-06 -53.6903374203 -12.2865070791
345 707 -0.00341234936147 1.17858536107e-06 -53.6821980236 -11.8744736152
346 762 -0.00342363467179 1.19734248527e-06 -53.6729176514 -12.0059887767
347 718 -0.00343562175938 1.06666410947e-06 -53.6630641836 -12.1664459977
348 704 -0.00344623817542 9.37196708703e-07 -53.6543408598 -12.1145840499
349 984 -0.00345303604343 1.2620289065e-06 -53.6487568679 -12.1719289593
350 708 -0.00346555752611 9.58069395677e-07 -53.6384747778 -11.9281220407
351 750 -0.00347436398439 1.12908786934e-06 -53.6312459926 -12.1872826
352 755 -0.00348504464476 1.12534110676e-06 -53.6224817477 -12.3171394045
353 693 -0.00349644676714 9.93037049065e-07 -53.6131290945 -12.2088417922
354 781 -0.00350534227407 1.35906221958e-06 -53.6058350886 -12.3955695496
355 762 -0.00351864578174 1.08986183884e-06 -53.5949308967 -12.0750163895
356 704 -0.00352948409821 1.22575870225e-06 -53.5860510312 -12.2531744359
357 691 -0.00354235209718 1.0485624847e-06 -53.5755125956 -12.1859320937
