100 100000 0.95 reinforce cheb_reinforce 30000000
334 18078 -0.0483898202705 1.6299680245e-05 -32.9941919473 -11.6944963036
335 17835 -0.0485299838879 1.59123232278e-05 -32.9582896816 -11.667162803
336 18301 -0.0486650641457 1.59506163717e-05 -32.9237835182 -11.689023891
337 18706 -0.04879899456 1.57817251791e-05 -32.889661831 -11.688144226
338 19451 -0.0489289452472 1.61654834063e-05 -32.8566401055 -11.6879367023
339 19453 -0.0490620497239 1.61570828086e-05 -32.8229044857 -11.658396673
340 19471 -0.0491950215055 1.65220845323e-05 -32.7892905898 -11.690194755
341 18781 -0.0493334737899 1.67952482517e-05 -32.7543844799 -11.68847006
342 17620 -0.0494787753349 1.55901520379e-05 -32.7178534016 -11.6755222639
343 18682 -0.0496097642342 1.59606492204e-05 -32.6850097854 -11.6753330692
344 19076 -0.0497424728792 1.62169163365e-05 -32.6518207252 -11.7020697055
345 18978 -0.0498776592067 1.58614585065e-05 -32.6181004316 -11.6977654062
346 19574 -0.0500078532441 1.67587960896e-05 -32.5857094162 -11.7067976289
347 18432 -0.0501496100056 1.62073745607e-05 -32.5505350915 -11.7015217588
348 18355 -0.0502869902758 1.59631059827e-05 -32.516539241 -11.6883458098
349 18737 -0.0504209131346 1.59677934919e-05 -32.4834862772 -11.6668748096
350 19118 -0.0505535342663 1.67269300643e-05 -32.4508392165 -11.6871170783
