100 100000 0.95 gpomdp sample_bernstein 30000000
314 221 -0.0618943164334 2.1942794576e-05 -29.9394641086 -11.6950196752
315 234 -0.0620764394856 2.60580423483e-05 -29.9032021117 -11.1896602383
316 182 -0.0622819493711 2.12767723097e-05 -29.8624225202 -11.5202223628
317 198 -0.0624668013258 1.78800795186e-05 -29.8258673 -11.6877276603
318 270 -0.0626069718053 2.77506853891e-05 -29.7982267041 -11.4615773647
319 188 -0.0628585106443 2.1817601625e-05 -29.7487944093 -11.5429784656
320 199 -0.0630203714316 2.55909879184e-05 -29.7171000541 -11.6175232702
321 159 -0.0632177456425 1.59466962391e-05 -29.6785723745 -11.5305770876
322 250 -0.0633470335913 2.3505777834e-05 -29.6534067774 -11.4105706159
323 235 -0.0635273781878 2.71060574341e-05 -29.6183973359 -11.4206701506
324 172 -0.0637656398679 1.49539175429e-05 -29.5723122195 -12.3331243732
325 281 -0.0638593143766 2.70683273064e-05 -29.5542454737 -11.5858246195
326 198 -0.0640858911457 2.35430957582e-05 -29.5106669874 -11.5928268611
327 184 -0.0642753474923 2.19240548003e-05 -29.4743586372 -11.8327520538
328 189 -0.0644538996177 2.12341899663e-05 -29.4402483601 -11.6396075839
329 209 -0.0646271573742 1.96714334392e-05 -29.4072495468 -11.6657427954
330 254 -0.0647731816447 2.64835728584e-05 -29.3795138426 -11.8061004746
331 191 -0.0649867362803 1.53699446719e-05 -29.3390764273 -11.3445949557
332 313 -0.0650968717658 2.77849358973e-05 -29.3182796121 -11.6446246709
333 210 -0.0653145764854 1.53567959785e-05 -29.2772857091 -11.5725150191
334 346 -0.0654401158981 2.59723427723e-05 -29.2537158316 -11.8514180062
335 266 -0.0656356063901 2.81412951054e-05 -29.217113131 -11.2488410548
336 177 -0.0658521281655 1.67576142064e-05 -29.1767147257 -11.2673377586
337 266 -0.0659741289976 2.83110097363e-05 -29.1540174285 -11.6364606099
338 175 -0.0662060407208 2.0067328025e-05 -29.111001606 -11.2742160123
339 214 -0.0663667708356 1.45045465572e-05 -29.081287979 -11.3714921892
340 378 -0.0664768325353 3.06187359439e-05 -29.0609878893 -11.4869905088
341 210 -0.0667224992244 2.55169584554e-05 -29.0158126093 -11.6877534751
