100 100000 0.75 gpomdp bernstein 30000000
96 3781 0.0245319110928 2.67457531459e-05 -98.4844375687 -12.3418019578
97 3676 0.0248051770042 2.5907262655e-05 -99.3455625071 -12.3629575771
98 3767 0.0250627364776 2.66870538803e-05 -100.172049568 -12.4254018509
99 3674 0.0253356961727 2.63785784137e-05 -101.064130537 -12.3386931974
100 3649 0.0256074716206 2.55770731372e-05 -101.969344212 -12.5276359495
101 3807 0.0258596783141 2.65783661405e-05 -102.824985481 -12.4020017063
102 3739 0.0261266145201 2.67796300778e-05 -103.747426131 -12.2800912368
103 3630 0.0264033918635 2.56920924753e-05 -104.722673626 -12.405671732
104 3764 0.0266593237133 2.63267045752e-05 -105.641998305 -12.4940269622
105 3753 0.026922900352 2.60657687123e-05 -106.606903746 -12.4924858232
106 3801 0.0271805009785 2.66907139425e-05 -107.568211329 -12.2740075754
107 3714 0.0274498510772 2.62083202413e-05 -108.593263367 -12.4073958681
108 3731 0.0277135875873 2.63962657056e-05 -109.617253081 -12.4672639557
109 3700 0.0279819133951 2.65630766748e-05 -110.680308629 -12.4502036978
110 3643 0.0282552893675 2.58741385976e-05 -111.7860984 -12.4177475496
111 3733 0.0285155423569 2.66123824595e-05 -112.860787791 -12.426576236
112 3666 0.0287875304187 2.64131494195e-05 -114.007578196 -12.292419679
113 3644 0.0290591357479 2.63593106351e-05 -115.17764161 -12.4622721117
114 3620 0.0293333202815 2.59204856571e-05 -116.384873837 -12.4335077939
115 3698 0.029596713641 2.61640494091e-05 -117.570062583 -12.3993932189
116 3714 0.0298622152125 2.67878653883e-05 -118.790833951 -12.3903909258
117 3611 0.0301399138514 2.58863058332e-05 -120.096664661 -12.4567097633
118 3697 0.0304029982766 2.68586600324e-05 -121.362035019 -12.3983423699
119 3572 0.030685123907 2.58305061139e-05 -122.750616968 -12.4134392758
120 3674 0.0309487570718 2.65278127289e-05 -124.078800357 -12.4884507951
121 3623 0.0312234761861 2.58631587818e-05 -125.495437143 -12.4247414794
122 3729 0.031482656695 2.65314021922e-05 -126.863526348 -12.3824020326
123 3673 0.0317539641686 2.64482662375e-05 -128.329658227 -12.3692668915
