100 100000 0.75 gpomdp iter_bernstein 20000000
171 690 -0.000321422766873 1.88069096619e-07 -56.3695157944 -12.2042680178
172 657 -0.000323256347597 2.09113769851e-07 -56.367830782 -12.0877641497
173 671 -0.000325298625131 1.9447023021e-07 -56.365954117 -12.1668722119
174 672 -0.000327179617802 1.81251821831e-07 -56.364225783 -12.1561021357
175 670 -0.000328912837687 1.78780788113e-07 -56.3626333349 -12.0727473846
176 682 -0.000330601608865 2.30760409771e-07 -56.3610818233 -12.0672978066
177 650 -0.000332944228522 1.85292274151e-07 -56.3589297666 -12.3954851876
178 684 -0.000334700857539 1.90427761514e-07 -56.3573161545 -12.2226782213
179 690 -0.000336493823222 1.92237523204e-07 -56.355669272 -12.0958823242
180 651 -0.00033839133254 1.7496155373e-07 -56.3539264821 -12.1492805551
181 688 -0.000340015001534 2.00343518928e-07 -56.352435301 -12.060575059
182 683 -0.000341928799968 1.86993245888e-07 -56.3506777791 -12.0775959116
183 676 -0.000343705576811 2.06472897928e-07 -56.3490462008 -12.3403020935
184 682 -0.000345665150544 1.93743625018e-07 -56.3472468879 -12.2213645118
185 675 -0.000347509548959 2.02714806036e-07 -56.3455534497 -12.4564890749
186 738 -0.000349296708016 1.98903578741e-07 -56.3439126757 -12.1341628719
187 666 -0.000351218064894 1.94993262355e-07 -56.3421488166 -11.8260975211
188 655 -0.000353152263382 1.94084989392e-07 -56.3403732947 -12.1351194716
189 704 -0.000354941849434 2.17596739301e-07 -56.3387306344 -12.1564202191
190 715 -0.000356936854481 2.10388042069e-07 -56.3368995479 -12.1504151008
191 636 -0.000359085590615 1.90561805438e-07 -56.3349275122 -12.1498005543
192 667 -0.00036093211904 1.98374680806e-07 -56.3332329571 -12.4184092092
193 721 -0.000362719751771 1.90653704249e-07 -56.3315925603 -12.1812403219
194 675 -0.00036453253955 1.78897652327e-07 -56.3299291907 -12.1099740945
195 649 -0.000366296360492 1.84607037114e-07 -56.3283108586 -12.0938204107
196 664 -0.00036808830486 2.04739386714e-07 -56.3266668305 -12.2654956811
197 682 -0.000370037237452 1.90931164106e-07 -56.3248788962 -12.2926150541
198 698 -0.000371805566898 2.07092613528e-07 -56.3232567568 -12.1858288463
199 677 -0.000373811666265 1.9772179497e-07 -56.3214166322 -12.0982023755
200 683 -0.000375699522627 1.63001332856e-07 -56.319685092 -11.9889143083
201 666 -0.000377248670541 1.69262453982e-07 -56.3182643049 -12.0626025973
202 669 -0.000378857623086 2.06431697497e-07 -56.3167887544 -12.0143325055
203 660 -0.000380882688295 2.02592374004e-07 -56.3149317165 -12.0801075553
204 679 -0.000382812123444 1.81457157304e-07 -56.3131625028 -12.1745897015
205 649 -0.000384614152108 1.92690408162e-07 -56.3115102293 -12.0020013039
206 658 -0.000386511537728 2.01233850903e-07 -56.3097706419 -12.2085038216
207 691 -0.00038840661216 2.07776102143e-07 -56.3080332949 -12.11762265
208 654 -0.000390460781061 1.8639933644e-07 -56.3061502319 -12.2471809749
209 721 -0.000392132052664 2.08336679192e-07 -56.3046182772 -12.0973592766
210 686 -0.000394113907321 2.06923218279e-07 -56.3028017519 -12.1839630995
211 686 -0.00039608303739 2.21585004829e-07 -56.300997021 -12.1342919879
212 656 -0.000398299194983 1.90762006497e-07 -56.298966043 -12.0678585676
213 664 -0.000400161442794 1.90872938677e-07 -56.2972595308 -12.0587948834
214 687 -0.000401953434215 2.07457460509e-07 -56.2956175101 -12.0883460631
215 628 -0.00040408550075 1.66627964987e-07 -56.2936640161 -12.0119207482
216 697 -0.000405626442594 1.75656343307e-07 -56.2922522324 -11.9923811152
217 656 -0.000407340486816 2.31339239944e-07 -56.2906819494 -12.0854604769
218 659 -0.000409642468352 1.66228592217e-07 -56.2885731969 -12.1499055933
219 692 -0.000411177401047 1.94911911542e-07 -56.2871672063 -12.0444867206
220 662 -0.000413072994578 2.03259376704e-07 -56.2854309619 -12.2662319281
221 669 -0.000415036619903 1.82104850091e-07 -56.2836325324 -12.0858397283
222 684 -0.000416747599028 1.80618914653e-07 -56.2820656006 -12.0123734764
223 713 -0.000418377876358 1.78126140516e-07 -56.2805726681 -12.0231774803
224 653 -0.000420124177435 2.15722963933e-07 -56.2789735859 -12.116746716
225 728 -0.000422083108613 2.00514381031e-07 -56.2771799214 -12.0800841882
226 673 -0.000424026555991 2.09418298939e-07 -56.2754005623 -12.1376281467
227 720 -0.000425931064252 1.92404837798e-07 -56.2736569781 -12.2727361847
228 723 -0.00042766273503 2.19415834514e-07 -56.2720717334 -12.2548825643
229 708 -0.000429677976832 1.87280018379e-07 -56.270227023 -12.0926210595
230 709 -0.000431387640878 1.96809889915e-07 -56.2686621395 -11.9724532146
231 679 -0.000433258220562 2.03224452866e-07 -56.2669500801 -12.2992238606
232 685 -0.000435200978187 2.08322792719e-07 -56.2651720842 -12.2641409394
233 697 -0.000437138055042 2.3389526732e-07 -56.2633994139 -12.2705114843
234 695 -0.000439368845371 1.79083441028e-07 -56.2613581153 -12.3160847159
235 700 -0.000441011358846 2.04811604485e-07 -56.2598552302 -12.0339551703
236 722 -0.000442871308662 1.6306464571e-07 -56.2581535026 -12.1751495389
237 703 -0.000444349803587 1.85418791628e-07 -56.2568008633 -12.1980794643
238 681 -0.000446100595536 1.93725227167e-07 -56.2551992014 -12.1130210767
239 723 -0.000447830961754 1.72231347822e-07 -56.2536163267 -12.0807694643
240 681 -0.000449456192185 2.10382796104e-07 -56.2521297181 -12.1839608289
241 688 -0.000451442115683 2.08608027054e-07 -56.2503133021 -12.1531772893
242 681 -0.000453448450378 1.87253658612e-07 -56.2484783518 -12.0860725705
243 710 -0.000455166219958 2.24456312537e-07 -56.2469074246 -12.1336211234
