10 500000 0.95 gpomdp sample_bernstein 30000000

396 4000  0.01 189.60775
397 4000  0.01 193.4725
398 4000  0.01 190.87475
399 4000  0.01 193.1385
400 4000  0.01 191.94025
401 4000  0.01 193.4455
402 4000  0.01 191.08125
403 4000  0.01 195.145
404 4000  0.01 193.49275
405 4000  0.01 190.829
406 4000  0.01 191.8775
407 4000  0.01 195.009
408 4000  0.01 194.5995
409 4000  0.01 193.28525
410 4000  0.01 191.40225
411 4000  0.01 193.86125
412 4000  0.01 193.15125
413 4000  0.01 193.68275
414 4000  0.01 191.60625
415 4000  0.01 191.7475
416 4000  0.01 190.594
417 4000  0.01 191.96
418 4000  0.01 191.8495
419 4000  0.01 194.85825
420 4000  0.01 194.12175
421 4000  0.01 193.0155
422 4000  0.01 191.70275
423 4000  0.01 193.097
424 4000  0.01 193.1355
425 4000  0.01 191.0335
426 4000  0.01 191.80275
427 4000  0.01 195.105
428 4000  0.01 194.018
429 4000  0.01 193.905
430 4000  0.01 191.4735
431 4000  0.01 192.582
432 4000  0.01 192.3615
433 4000  0.01 191.87425
434 4000  0.01 190.27725
435 4000  0.01 194.61925
436 4000  0.01 192.81375
437 4000  0.01 192.6675
438 4000  0.01 191.23275
439 4000  0.01 192.50175
440 4000  0.01 191.6865
441 4000  0.01 192.19125
442 4000  0.01 190.4645
443 4000  0.01 194.09775
444 4000  0.01 192.26025
445 4000  0.01 190.997
446 4000  0.01 189.29775
447 4000  0.01 192.738
448 4000  0.01 191.45
449 4000  0.01 191.93775
450 4000  0.01 191.5215
451 4000  0.01 193.349
452 4000  0.01 191.53075
453 4000  0.01 192.11025
454 4000  0.01 191.7205
455 4000  0.01 193.82925
456 4000  0.01 194.05425
457 4000  0.01 194.68
458 4000  0.01 194.03175
459 4000  0.01 193.3095
460 4000  0.01 193.10125
461 4000  0.01 194.21
462 4000  0.01 193.5725
463 4000  0.01 193.22075
464 4000  0.01 191.5965
465 4000  0.01 193.01875
466 4000  0.01 191.55775
467 4000  0.01 194.51725
468 4000  0.01 194.21525
469 4000  0.01 193.1335
470 4000  0.01 192.23725
471 4000  0.01 192.6765
472 4000  0.01 190.1975
473 4000  0.01 193.124
474 4000  0.01 192.40775
475 4000  0.01 193.2615
476 4000  0.01 192.70275
477 4000  0.01 192.93875
478 4000  0.01 193.06275
479 4000  0.01 191.6995
480 4000  0.01 190.44625
481 4000  0.01 193.96475
482 4000  0.01 193.69375
483 4000  0.01 194.23075
484 4000  0.01 194.39825
485 4000  0.01 194.824
486 4000  0.01 194.415
