100 100000 0.95 gpomdp sample_bernstein 30000000

1 100 [-0.5 -0.  -0.  -0.5] 2.73701022428e-06 -26.6650121788 -19.8531404361
114 6911 [ -5.00478835e-01  -0.00000000e+00  -3.85127703e-06  -5.00344336e-01] 7.01750489702e-06 -26.6620483528 -19.2625959924
115 5035 [ -5.00478835e-01  -0.00000000e+00  -3.85127703e-06  -5.00352865e-01] 5.8214058385e-06 -26.6645636877 -19.2593101978
116 5009 [ -5.00478835e-01  -0.00000000e+00  -3.85127703e-06  -5.00359606e-01] 5.24028590232e-06 -26.6637710344 -19.2578998995
117 5897 [ -5.00478835e-01  -0.00000000e+00  -3.85127703e-06  -5.00365398e-01] 6.21792584147e-06 -26.6645593448 -19.3229757323
118 5303 [ -5.00478835e-01  -0.00000000e+00  -3.85127703e-06  -5.00372743e-01] 5.87445173477e-06 -26.6626539147 -19.2141819116
119 5265 [ -5.00478835e-01  -0.00000000e+00  -3.85127703e-06  -5.00379687e-01] 6.15284588096e-06 -26.6636296976 -19.3101834754
120 4918 [ -5.00486642e-01  -0.00000000e+00  -3.85127703e-06  -5.00379687e-01] 6.56276139301e-06 -26.6661886212 -19.2739062122
121 4051 [ -5.00495508e-01  -0.00000000e+00  -3.85127703e-06  -5.00379687e-01] 5.2866392289e-06 -26.6653056278 -19.3866579597
122 4736 [ -5.00495508e-01  -0.00000000e+00  -3.85127703e-06  -5.00386470e-01] 6.39181497879e-06 -26.6648437777 -19.4004817707
123 4309 [ -5.00495508e-01  -0.00000000e+00  -3.85127703e-06  -5.00395895e-01] 6.11967711956e-06 -26.6649899562 -19.366406557
124 4005 [ -5.00503687e-01  -0.00000000e+00  -3.85127703e-06  -5.00395895e-01] 5.81293935305e-06 -26.6637604738 -19.2700788048
125 4111 [ -5.00503687e-01  -0.00000000e+00  -3.85127703e-06  -5.00403839e-01] 4.4918042624e-06 -26.6648519184 -19.2462104395
126 6083 [ -5.00503687e-01  -0.00000000e+00  -3.85127703e-06  -5.00409501e-01] 7.01830150326e-06 -26.6617564507 -19.2964997236
127 4525 [ -5.00503687e-01  -0.00000000e+00  -3.85127703e-06  -5.00419209e-01] 5.14722452282e-06 -26.6636305979 -19.3579249732
128 5436 [ -5.00509577e-01  -0.00000000e+00  -3.85127703e-06  -5.00419209e-01] 5.4585125163e-06 -26.663671116 -19.3781381502
129 6055 [ -5.00509577e-01  -0.00000000e+00  -3.85127703e-06  -5.00425361e-01] 7.13468811625e-06 -26.6625091544 -19.272631767
130 4098 [ -5.00509577e-01  -0.00000000e+00  -3.85127703e-06  -5.00434611e-01] 4.9370853284e-06 -26.6644038271 -19.359049739
131 5099 [ -5.00515013e-01  -0.00000000e+00  -3.85127703e-06  -5.00434611e-01] 6.07828790013e-06 -26.6659033775 -19.3015370268
132 4915 [ -5.00515013e-01  -0.00000000e+00  -3.85127703e-06  -5.00442415e-01] 6.3754994975e-06 -26.663677594 -19.302371595
133 4289 [ -5.00523437e-01  -0.00000000e+00  -3.85127703e-06  -5.00442415e-01] 5.70092630236e-06 -26.6635496152 -19.3092879623
134 4334 [ -5.00523437e-01  -0.00000000e+00  -3.85127703e-06  -5.00449272e-01] 6.20537409069e-06 -26.6612952285 -19.2993010549
135 3828 [ -5.00531463e-01  -0.00000000e+00  -3.85127703e-06  -5.00449272e-01] 4.90007504141e-06 -26.6632466799 -19.2595202176
136 4892 [ -5.00537262e-01  -0.00000000e+00  -3.85127703e-06  -5.00449272e-01] 5.86454233273e-06 -26.6624285457 -19.3596501677
137 4824 [ -5.00537262e-01  -0.00000000e+00  -3.85127703e-06  -5.00456304e-01] 5.75796509435e-06 -26.6639932084 -19.217485789
138 4980 [ -5.00544301e-01  -0.00000000e+00  -3.85127703e-06  -5.00456304e-01] 6.51883360477e-06 -26.6623504943 -19.2860788004
139 4060 [ -5.00544301e-01  -0.00000000e+00  -3.85127703e-06  -5.00464746e-01] 6.14623105936e-06 -26.6643095185 -19.2248748695
140 3832 [ -5.00544301e-01  -0.00000000e+00  -3.85127703e-06  -5.00473589e-01] 6.11929794261e-06 -26.6634794554 -19.2797237707
141 3597 [ -5.00553037e-01  -0.00000000e+00  -3.85127703e-06  -5.00473589e-01] 5.16263643517e-06 -26.6655469875 -19.28822994
142 4244 [ -5.00559488e-01  -0.00000000e+00  -3.85127703e-06  -5.00473589e-01] 5.04116928986e-06 -26.6652275365 -19.2388699528
143 5343 [ -5.00565440e-01  -0.00000000e+00  -3.85127703e-06  -5.00473589e-01] 6.60878120165e-06 -26.6621794075 -19.3124321455
144 4474 [ -5.00574392e-01  -0.00000000e+00  -3.85127703e-06  -5.00473589e-01] 6.50945530653e-06 -26.6642842462 -19.331298695
145 3748 [ -5.00583643e-01  -0.00000000e+00  -3.85127703e-06  -5.00473589e-01] 4.75990433909e-06 -26.661944778 -19.3240704219
146 5050 [ -5.00589527e-01  -0.00000000e+00  -3.85127703e-06  -5.00473589e-01] 5.80808367723e-06 -26.6629065954 -19.31527664
147 4944 [ -5.00596136e-01  -0.00000000e+00  -3.85127703e-06  -5.00473589e-01] 6.07564416134e-06 -26.6614761946 -19.2204546702
148 4756 [ -5.00603912e-01  -0.00000000e+00  -3.85127703e-06  -5.00473589e-01] 5.28948473744e-06 -26.6619558183 -19.305976958
149 5631 [ -5.00610148e-01  -0.00000000e+00  -3.85127703e-06  -5.00473589e-01] 6.94982725061e-06 -26.6623514677 -19.3014913002
