100 100000 0.95 gpomdp sample_bernstein 1000000

283 1000  1e-06 -426.634149494 -19.3982518093
284 1000  1e-06 -426.634065061 -19.2933892077
285 1000  1e-06 -426.633957897 -19.2435800929
286 1000  1e-06 -426.633834601 -19.2154519103
287 1000  1e-06 -426.633703749 -19.4457776717
288 1000  1e-06 -426.63354514 -19.2157647753
289 1000  1e-06 -426.633451882 -19.3608772041
290 1000  1e-06 -426.633312613 -19.0996875903
291 1000  1e-06 -426.633203212 -19.3265687515
292 1000  1e-06 -426.633084935 -19.1827709313
293 1000  1e-06 -426.632971852 -19.1693096119
294 1000  1e-06 -426.632835965 -19.2925608345
295 1000  1e-06 -426.632699559 -19.2801827482
296 1000  1e-06 -426.632622341 -19.4328345636
297 1000  1e-06 -426.632527536 -19.3408416698
298 1000  1e-06 -426.632389068 -19.3814934531
299 1000  1e-06 -426.632259918 -19.2573857718
300 1000  1e-06 -426.63215103 -19.3709954746
301 1000  1e-06 -426.632038902 -19.3443781934
302 1000  1e-06 -426.631941405 -19.4343696526
303 1000  1e-06 -426.631815063 -19.3611278507
304 1000  1e-06 -426.631699841 -19.4589367041
305 1000  1e-06 -426.631595712 -19.4796325505
306 1000  1e-06 -426.631485324 -19.278892717
307 1000  1e-06 -426.631396303 -19.3025345916
308 1000  1e-06 -426.63129305 -19.0707725209
309 1000  1e-06 -426.631177328 -19.4066729735
310 1000  1e-06 -426.631049012 -19.2399095228
311 1000  1e-06 -426.630956206 -19.3964040756
312 1000  1e-06 -426.630838983 -19.2757347154
313 1000  1e-06 -426.630722105 -19.3863883325
314 1000  1e-06 -426.630607027 -19.299483131
315 1000  1e-06 -426.630469715 -19.2633421248
316 1000  1e-06 -426.630373424 -19.5758662337
317 1000  1e-06 -426.630251271 -19.5311215747
318 1000  1e-06 -426.630134645 -19.43402578
319 1000  1e-06 -426.630001159 -19.4600707381
320 1000  1e-06 -426.629877776 -19.4434607922
321 1000  1e-06 -426.629790119 -19.1800664039
322 1000  1e-06 -426.629668394 -19.3174520083
323 1000  1e-06 -426.629567336 -19.1689321704
324 1000  1e-06 -426.629445662 -19.3902000014
325 1000  1e-06 -426.629329391 -19.2484998746
326 1000  1e-06 -426.629204662 -19.2404656109
327 1000  1e-06 -426.629084183 -19.2397695012
328 1000  1e-06 -426.628948037 -19.3201975088
329 1000  1e-06 -426.628845132 -19.3416298598
330 1000  1e-06 -426.628740712 -18.9701977008
331 1000  1e-06 -426.628587143 -19.2668510953
332 1000  1e-06 -426.628485244 -19.4628713627
333 1000  1e-06 -426.628362212 -19.3044205433
334 1000  1e-06 -426.628239287 -19.1177036308
335 1000  1e-06 -426.628114139 -19.4244759391
336 1000  1e-06 -426.628003495 -19.1735702301
337 1000  1e-06 -426.627886373 -19.4534726727
338 1000  1e-06 -426.62778213 -19.3496627025
339 1000  1e-06 -426.627634082 -19.2891732015
340 1000  1e-06 -426.627525396 -19.1746130512
341 1000  1e-06 -426.627430243 -19.2459810222
342 1000  1e-06 -426.627351634 -19.2163816996
343 1000  1e-06 -426.627207695 -19.2481497739
344 1000  1e-06 -426.627061876 -19.4326366288
345 1000  1e-06 -426.626959576 -19.3371178437
346 1000  1e-06 -426.626855648 -19.1710685863
347 1000  1e-06 -426.62672792 -19.1534903168
348 1000  1e-06 -426.626607315 -19.2356257854
349 1000  1e-06 -426.626514288 -19.1974773286
350 1000  1e-06 -426.626376944 -19.2787860367
351 1000  1e-06 -426.626241913 -18.9934071078
352 1000  1e-06 -426.62615324 -19.3497216657
353 1000  1e-06 -426.626013833 -19.431971935
354 1000  1e-06 -426.625890059 -19.3584631233
355 1000  1e-06 -426.625770518 -19.408560791
356 1000  1e-06 -426.625648724 -19.0989631385
357 1000  1e-06 -426.625519426 -19.4204446334
358 1000  1e-06 -426.625393678 -19.2877272851
359 1000  1e-06 -426.625278451 -19.4678552982
360 1000  1e-06 -426.625182521 -19.409368015
361 1000  1e-06 -426.625069589 -19.2037319052
362 1000  1e-06 -426.624949672 -19.2857670793
363 1000  1e-06 -426.624823552 -19.0375901296
364 1000  1e-06 -426.624692207 -19.2416303725
365 1000  1e-06 -426.624576675 -19.3279062535
366 1000  1e-06 -426.62444288 -19.442312237
367 1000  1e-06 -426.624312057 -19.2400515399
368 1000  1e-06 -426.624184734 -19.1904695397
369 1000  1e-06 -426.624068563 -19.1246868816
370 1000  1e-06 -426.623938616 -19.1853119774
371 1000  1e-06 -426.623810291 -19.4410047194
372 1000  1e-06 -426.623699745 -19.2764711984
373 1000  1e-06 -426.623574365 -19.3617526859
374 1000  1e-06 -426.623463487 -19.4365709586
375 1000  1e-06 -426.623326099 -19.366492729
376 1000  1e-06 -426.623209335 -19.3595887266
377 1000  1e-06 -426.62310676 -19.2520646199
378 1000  1e-06 -426.623010893 -19.4468958323
379 1000  1e-06 -426.622898844 -19.4001142992
380 1000  1e-06 -426.622795501 -19.604357735
381 1000  1e-06 -426.622699298 -19.2509978621
382 1000  1e-06 -426.622599985 -19.2348824939
383 1000  1e-06 -426.622511356 -19.4676241799
384 1000  1e-06 -426.622369248 -19.3479813788
385 1000  1e-06 -426.622223521 -19.2666765222
386 1000  1e-06 -426.622123973 -19.3212401361
387 1000  1e-06 -426.621998613 -19.322438786
388 1000  1e-06 -426.621871619 -18.9595158267
389 1000  1e-06 -426.62176675 -19.1633904209
390 1000  1e-06 -426.621668085 -19.3321925419
391 1000  1e-06 -426.621558004 -19.3532824472
392 1000  1e-06 -426.621423204 -19.4826066544
393 1000  1e-06 -426.621329655 -19.1815975707
394 1000  1e-06 -426.621190151 -19.3772516147
395 1000  1e-06 -426.621053217 -19.1943519991
396 1000  1e-06 -426.620968609 -19.5179678506
397 1000  1e-06 -426.620850738 -19.1578237892
398 1000  1e-06 -426.620751226 -19.1891483886
399 1000  1e-06 -426.620639652 -19.515857532
400 1000  1e-06 -426.620528623 -19.4343139606
401 1000  1e-06 -426.620447803 -19.394360435
402 1000  1e-06 -426.620324574 -19.5407254258
403 1000  1e-06 -426.620217694 -19.2487056268
404 1000  1e-06 -426.62010826 -19.1394248488
405 1000  1e-06 -426.619979332 -19.2746849777
406 1000  1e-06 -426.619856361 -19.3500809243
407 1000  1e-06 -426.619756919 -19.567421264
408 1000  1e-06 -426.619627487 -19.2306357948
409 1000  1e-06 -426.619511342 -19.6199152234
410 1000  1e-06 -426.619379891 -19.3012898053
411 1000  1e-06 -426.619276579 -19.2419069793
412 1000  1e-06 -426.619165755 -19.275659684
413 1000  1e-06 -426.619029451 -19.4558427074
414 1000  1e-06 -426.618918841 -19.2801163151
415 1000  1e-06 -426.61880457 -19.4947434378
416 1000  1e-06 -426.618684835 -19.3209391833
417 1000  1e-06 -426.618578529 -19.2669993813
418 1000  1e-06 -426.618465398 -19.3198591717
419 1000  1e-06 -426.618353245 -19.2531258031
420 1000  1e-06 -426.618266408 -19.3207760003
421 1000  1e-06 -426.618162352 -19.1549808832
422 1000  1e-06 -426.618061685 -19.3200226086
423 1000  1e-06 -426.617959943 -19.0805680863
424 1000  1e-06 -426.617854232 -19.2174178662
425 1000  1e-06 -426.617751129 -19.1786035966
426 1000  1e-06 -426.617654287 -19.1178573142
427 1000  1e-06 -426.617555711 -19.3724745413
428 1000  1e-06 -426.617464253 -19.2954394931
429 1000  1e-06 -426.617350553 -19.2123280972
430 1000  1e-06 -426.617232273 -19.2155946354
431 1000  1e-06 -426.617112894 -19.3800149588
432 1000  1e-06 -426.617004373 -19.1783450735
433 1000  1e-06 -426.616866872 -19.5088517152
434 1000  1e-06 -426.616758638 -19.296496661
435 1000  1e-06 -426.616663072 -19.1656508916
436 1000  1e-06 -426.61653325 -19.2562618496
437 1000  1e-06 -426.616424425 -19.3357089467
438 1000  1e-06 -426.616295589 -19.4218634695
439 1000  1e-06 -426.616193244 -19.4711267234
440 1000  1e-06 -426.616084724 -19.5765632296
441 1000  1e-06 -426.615952661 -19.4741877573
442 1000  1e-06 -426.615824468 -19.3487226544
443 1000  1e-06 -426.615714285 -19.3882089772
444 1000  1e-06 -426.615603121 -19.2796041747
445 1000  1e-06 -426.615493233 -19.2872004731
446 1000  1e-06 -426.615351744 -19.437511302
447 1000  1e-06 -426.615239278 -19.2811646347
448 1000  1e-06 -426.61513535 -19.4397925496
449 1000  1e-06 -426.615029044 -19.2944096095
450 1000  1e-06 -426.614930241 -19.4602338734
451 1000  1e-06 -426.614825945 -19.4220298072
452 1000  1e-06 -426.614724559 -19.2635624563
453 1000  1e-06 -426.614584516 -19.369320614
454 1000  1e-06 -426.614458203 -19.3439038676
455 1000  1e-06 -426.614332107 -19.0428605419
456 1000  1e-06 -426.614214803 -19.3009216266
457 1000  1e-06 -426.614104666 -19.2523787801
458 1000  1e-06 -426.613993649 -19.5456852877
459 1000  1e-06 -426.613871032 -19.3162740536
460 1000  1e-06 -426.613754037 -19.3951957442
461 1000  1e-06 -426.613641545 -19.2607539882
462 1000  1e-06 -426.613513386 -19.4376664396
463 1000  1e-06 -426.613399749 -19.276486313
464 1000  1e-06 -426.613288369 -19.2793109506
465 1000  1e-06 -426.613167469 -19.2779877261
466 1000  1e-06 -426.613043309 -18.9750317574
467 1000  1e-06 -426.612939833 -19.2713483768
468 1000  1e-06 -426.612817821 -19.3539375563
469 1000  1e-06 -426.61270702 -19.3316458178
470 1000  1e-06 -426.612600277 -19.2023803126
471 1000  1e-06 -426.612492912 -19.3542201936
472 1000  1e-06 -426.612359255 -19.2885876281
473 1000  1e-06 -426.61222273 -19.3310885224
474 1000  1e-06 -426.612127406 -19.238170391
475 1000  1e-06 -426.612011971 -19.2468415782
476 1000  1e-06 -426.611924303 -19.4711707469
477 1000  1e-06 -426.611796905 -19.2319067168
478 1000  1e-06 -426.611667286 -19.2216829674
479 1000  1e-06 -426.611546141 -19.298644258
480 1000  1e-06 -426.61143566 -19.2865188139
481 1000  1e-06 -426.611324183 -19.4069582671
482 1000  1e-06 -426.611185628 -19.1950535586
483 1000  1e-06 -426.61105992 -19.3782698956
484 1000  1e-06 -426.610955279 -19.3971640795
485 1000  1e-06 -426.610837079 -19.5371223916
486 1000  1e-06 -426.610676533 -19.2319416677
487 1000  1e-06 -426.610549851 -19.2145860376
488 1000  1e-06 -426.610427391 -19.4570700073
489 1000  1e-06 -426.610305608 -19.2300224028
490 1000  1e-06 -426.610187372 -19.2474726392
491 1000  1e-06 -426.610095048 -19.3989892878
492 1000  1e-06 -426.609972899 -19.1911394365
493 1000  1e-06 -426.609876802 -19.339775448
494 1000  1e-06 -426.609760829 -19.3345316211
495 1000  1e-06 -426.609663223 -19.5468342911
496 1000  1e-06 -426.609519614 -19.2214588158
497 1000  1e-06 -426.609430479 -19.2965659881
498 1000  1e-06 -426.609298088 -19.217292122
499 1000  1e-06 -426.609190729 -19.3741917698
500 1000  1e-06 -426.609073004 -19.1987697709
501 1000  1e-06 -426.608935994 -19.3865114543
502 1000  1e-06 -426.608833913 -19.2726847309
503 1000  1e-06 -426.608728638 -19.1653584691
504 1000  1e-06 -426.608617338 -19.255821601
505 1000  1e-06 -426.608489833 -19.4375497578
506 1000  1e-06 -426.608392877 -19.2130165787
507 1000  1e-06 -426.6082947 -19.5011269396
508 1000  1e-06 -426.608136959 -19.2264757492
509 1000  1e-06 -426.608007049 -19.0257753104
510 1000  1e-06 -426.607887052 -19.2589657517
511 1000  1e-06 -426.607788326 -19.4879121805
512 1000  1e-06 -426.6076711 -19.3373026263
513 1000  1e-06 -426.607543334 -19.1016380846
514 1000  1e-06 -426.607415291 -19.3770399552
515 1000  1e-06 -426.607276191 -19.4948537539
516 1000  1e-06 -426.607156882 -19.1674563571
517 1000  1e-06 -426.607019406 -19.3216514213
518 1000  1e-06 -426.606910024 -19.2724317874
519 1000  1e-06 -426.606793592 -19.2208528212
520 1000  1e-06 -426.606698166 -19.1895526624
521 1000  1e-06 -426.60658398 -19.3799079586
522 1000  1e-06 -426.606444169 -19.382887464
523 1000  1e-06 -426.606307694 -19.340995795
524 1000  1e-06 -426.606198886 -19.3488752006
525 1000  1e-06 -426.606111343 -19.268640205
526 1000  1e-06 -426.605986929 -19.2510075012
527 1000  1e-06 -426.605872212 -19.2519388875
528 1000  1e-06 -426.605750544 -19.2942494267
529 1000  1e-06 -426.605632112 -19.2406012034
530 1000  1e-06 -426.605512817 -19.0014731515
531 1000  1e-06 -426.60540303 -19.1747506426
532 1000  1e-06 -426.605288759 -19.4486384569
533 1000  1e-06 -426.605170193 -19.1214559981
534 1000  1e-06 -426.605062918 -19.2046154146
535 1000  1e-06 -426.604981845 -19.2146568638
536 1000  1e-06 -426.604869296 -19.111434016
537 1000  1e-06 -426.604737993 -19.2843364299
538 1000  1e-06 -426.604605242 -19.3745976153
539 1000  1e-06 -426.604477299 -19.2092939747
540 1000  1e-06 -426.604382637 -19.1294331325
541 1000  1e-06 -426.604303086 -19.3126483165
542 1000  1e-06 -426.604183726 -19.3410713227
543 1000  1e-06 -426.604080451 -19.3009347525
544 1000  1e-06 -426.603984122 -19.1848946273
545 1000  1e-06 -426.60388934 -19.3719508777
546 1000  1e-06 -426.603778749 -19.3302217876
547 1000  1e-06 -426.603659191 -19.3049323967
548 1000  1e-06 -426.603549364 -19.2553241968
549 1000  1e-06 -426.603435005 -19.3444353695
550 1000  1e-06 -426.603333587 -19.5152968756
551 1000  1e-06 -426.603215214 -19.4302668241
552 1000  1e-06 -426.60311727 -19.0072030909
553 1000  1e-06 -426.602997444 -19.6124102354
554 1000  1e-06 -426.602865483 -19.2144716676
555 1000  1e-06 -426.602768684 -19.1835726856
556 1000  1e-06 -426.602678348 -19.2969084032
557 1000  1e-06 -426.602564658 -19.2200899752
558 1000  1e-06 -426.602452618 -19.0558851219
